OrderID	Date	CustomerID	Product	Quantity	UnitPrice	ShippingAddress	PaymentMethod	OrderStatus	TrackingNumber	ItemsInCart	CouponCode	ReferralSource	TotalPrice	Discount percentage 	Profit 	Discount Amount	Total amount
ORD200806	01 September 2023	C55819	Chair	5	253.75	740 Main St	Online	Pending	TRK13775054	9	WINTER15	Instagram	1268.75	15	317.1875	190.3125	1078.4375
ORD200814	11 December 2024	C50732	Chair	4	147.51	979 Main St	Debit Card	Pending	TRK21082461	4	WINTER15	Instagram	590.04	15	147.51	88.506	501.534
ORD200881	03 January 2023	C59579	Tablet	2	448.85	386 Main St	Credit Card	Pending	TRK48000034	6	No coupon	Instagram	897.7	0	224.425	0	897.7
ORD200888	23 July 2024	C14427	Laptop	2	266.95	833 Main St	Credit Card	Pending	TRK58024529	3	No coupon	Instagram	533.9	0	133.475	0	533.9
ORD200899	23 April 2025	C99904	Printer	2	323.37	552 Main St	Online	Pending	TRK83843411	3	SAVE10	Instagram	646.74	10	161.685	64.674	582.066
ORD200900	07 February 2025	C52342	Laptop	5	73.83	991 Main St	Debit Card	Pending	TRK67342586	9	No coupon	Instagram	369.15	0	92.2875	0	369.15
ORD200922	17 June 2024	C81857	Desk	2	563.82	487 Main St	Credit Card	Pending	TRK79737732	3	No coupon	Instagram	1127.64	0	281.91	0	1127.64
ORD200987	05 June 2025	C67387	Phone	5	283.73	436 Main St	Gift Card	Pending	TRK54120003	8	FREESHIP50	Instagram	1418.65	-50	354.6625	50	1368.65
ORD200989	23 March 2023	C49995	Laptop	4	246.11	559 Main St	Credit Card	Pending	TRK33212013	4	SAVE10	Instagram	984.44	10	246.11	98.444	885.996
ORD201053	15 September 2024	C32798	Phone	2	496.62	679 Main St	Online	Pending	TRK37375451	2	SAVE10	Instagram	993.24	10	248.31	99.324	893.916
ORD201084	08 January 2023	C45175	Phone	1	70.82	128 Main St	Gift Card	Pending	TRK41792296	1	WINTER15	Instagram	70.82	15	17.705	10.623	60.197
ORD201086	23 December 2023	C46967	Tablet	2	513.42	401 Main St	Online	Pending	TRK91439791	5	WINTER15	Instagram	1026.84	15	256.71	154.026	872.814
ORD201129	11 June 2023	C43911	Chair	4	418.71	239 Main St	Cash	Pending	TRK37495481	8	FREESHIP50	Instagram	1674.84	-50	418.71	50	1624.84
ORD201137	29 July 2024	C48577	Printer	4	410.21	841 Main St	Cash	Pending	TRK59911645	5	WINTER15	Instagram	1640.84	15	410.21	246.126	1394.714
ORD201138	18 December 2023	C13100	Desk	4	294.41	188 Main St	Debit Card	Pending	TRK55565668	4	No coupon	Instagram	1177.64	0	294.41	0	1177.64
ORD201146	03 October 2024	C36383	Monitor	5	421.44	286 Main St	Cash	Pending	TRK93336357	5	SAVE10	Instagram	2107.2	10	526.8	210.72	1896.48
ORD201149	25 July 2024	C27305	Chair	2	695.29	957 Main St	Credit Card	Pending	TRK28789916	6	FREESHIP50	Instagram	1390.58	-50	347.645	50	1340.58
ORD201154	11 June 2025	C53631	Monitor	3	198.63	593 Main St	Cash	Pending	TRK67589167	8	SAVE10	Instagram	595.89	10	148.9725	59.589	536.301
ORD201172	04 February 2025	C28828	Desk	3	131.96	745 Main St	Credit Card	Pending	TRK32550359	8	No coupon	Instagram	395.88	0	98.97	0	395.88
ORD201181	27 July 2023	C70246	Desk	3	158.74	293 Main St	Online	Pending	TRK45708320	7	FREESHIP50	Instagram	476.22	-50	119.055	50	426.22
ORD201191	10 February 2025	C44148	Desk	4	376.43	809 Main St	Gift Card	Pending	TRK67872709	5	WINTER15	Instagram	1505.72	15	376.43	225.858	1279.862
ORD201192	28 February 2024	C72007	Chair	3	432.85	999 Main St	Online	Pending	TRK16240916	4	No coupon	Instagram	1298.55	0	324.6375	0	1298.55
ORD200000	04 January 2023	C72649	Monitor	5	570.62	928 Main St	Debit Card	Shipped	TRK37947903	7	SAVE10	Instagram	2853.1	10	713.275	285.31	2567.79
ORD200005	23 October 2023	C37249	Phone	2	245.86	934 Main St	Credit Card	Shipped	TRK72976927	4	SAVE10	Instagram	491.72	10	122.93	49.172	442.548
ORD200010	29 December 2023	C43443	Tablet	5	625.97	333 Main St	Credit Card	Returned	TRK98859248	9	WINTER15	Instagram	3129.85	15	782.4625	469.4775	2660.3725
ORD200037	14 October 2024	C10054	Laptop	2	76.74	409 Main St	Cash	Returned	TRK94005261	7	SAVE10	Instagram	153.48	10	38.37	15.348	138.132
ORD200040	20 August 2023	C84766	Desk	2	344.02	267 Main St	Online	Delivered	TRK78967923	4	FREESHIP50	Instagram	688.04	-50	172.01	50	638.04
ORD200042	06 May 2024	C28712	Printer	2	151.66	980 Main St	Cash	Cancelled	TRK40772558	6	No coupon	Instagram	303.32	0	75.83	0	303.32
ORD200043	14 December 2023	C60572	Chair	3	499.21	871 Main St	Online	Cancelled	TRK20351666	8	No coupon	Instagram	1497.63	0	374.4075	0	1497.63
ORD200050	31 July 2023	C96494	Tablet	1	179.22	446 Main St	Online	Cancelled	TRK14675049	6	FREESHIP50	Instagram	179.22	-50	44.805	50	129.22
ORD200057	22 January 2023	C88036	Printer	5	314.27	842 Main St	Cash	Returned	TRK52470128	6	SAVE10	Instagram	1571.35	10	392.8375	157.135	1414.215
ORD200065	30 December 2023	C97735	Monitor	5	81.7	385 Main St	Credit Card	Delivered	TRK13743703	6	No coupon	Instagram	408.5	0	102.125	0	408.5
ORD200078	06 August 2024	C32029	Printer	4	175.36	146 Main St	Debit Card	Delivered	TRK68535532	4	FREESHIP50	Instagram	701.44	-50	175.36	50	651.44
ORD200084	28 August 2023	C64160	Monitor	2	165.49	967 Main St	Online	Shipped	TRK34121529	4	WINTER15	Instagram	330.98	15	82.745	49.647	281.333
ORD200094	11 February 2023	C79821	Chair	1	531.18	781 Main St	Gift Card	Returned	TRK12780193	6	WINTER15	Instagram	531.18	15	132.795	79.677	451.503
ORD200096	01 June 2024	C93007	Phone	2	232.83	103 Main St	Gift Card	Delivered	TRK85696091	7	No coupon	Instagram	465.66	0	116.415	0	465.66
ORD200107	27 March 2023	C16775	Printer	5	670.75	848 Main St	Gift Card	Shipped	TRK34392124	8	FREESHIP50	Instagram	3353.75	-50	838.4375	50	3303.75
ORD200113	17 January 2024	C65905	Laptop	5	190.08	605 Main St	Cash	Shipped	TRK73954365	9	FREESHIP50	Instagram	950.4	-50	237.6	50	900.4
ORD200120	11 April 2023	C58108	Tablet	4	629.34	986 Main St	Cash	Cancelled	TRK66218053	4	WINTER15	Instagram	2517.36	15	629.34	377.604	2139.756
ORD200121	30 November 2023	C89822	Desk	1	410.78	673 Main St	Cash	Cancelled	TRK24138598	1	FREESHIP50	Instagram	410.78	-50	102.695	50	360.78
ORD200123	06 July 2023	C86064	Desk	3	278.04	727 Main St	Online	Delivered	TRK62182901	5	No coupon	Instagram	834.12	0	208.53	0	834.12
ORD200136	27 April 2024	C73370	Laptop	1	44.35	595 Main St	Gift Card	Cancelled	TRK67820278	1	SAVE10	Instagram	44.35	10	11.0875	4.435	39.915
ORD200141	18 November 2023	C80004	Printer	3	684.14	151 Main St	Cash	Cancelled	TRK66230753	3	WINTER15	Instagram	2052.42	15	513.105	307.863	1744.557
ORD200146	30 April 2025	C84645	Tablet	2	411.49	404 Main St	Credit Card	Returned	TRK68893369	4	No coupon	Instagram	822.98	0	205.745	0	822.98
ORD200153	18 December 2024	C71570	Chair	4	534.48	437 Main St	Online	Returned	TRK95992269	9	WINTER15	Instagram	2137.92	15	534.48	320.688	1817.232
ORD200166	04 March 2025	C28889	Chair	3	86.29	565 Main St	Cash	Delivered	TRK23791726	6	WINTER15	Instagram	258.87	15	64.7175	38.8305	220.0395
ORD200170	04 April 2025	C80223	Desk	4	662.94	535 Main St	Cash	Cancelled	TRK68632951	8	SAVE10	Instagram	2651.76	10	662.94	265.176	2386.584
ORD200171	15 August 2023	C20448	Tablet	2	148.22	336 Main St	Credit Card	Delivered	TRK67379895	7	WINTER15	Instagram	296.44	15	74.11	44.466	251.974
ORD200203	21 January 2025	C99173	Printer	3	356.84	172 Main St	Online	Shipped	TRK89849342	5	SAVE10	Instagram	1070.52	10	267.63	107.052	963.468
ORD200218	28 April 2023	C11665	Tablet	3	112.46	882 Main St	Gift Card	Shipped	TRK10993930	6	SAVE10	Instagram	337.38	10	84.345	33.738	303.642
ORD200222	04 May 2023	C43124	Chair	4	693.36	931 Main St	Online	Shipped	TRK17293348	8	No coupon	Instagram	2773.44	0	693.36	0	2773.44
ORD200226	27 June 2025	C31501	Desk	3	588.05	242 Main St	Gift Card	Delivered	TRK93063929	8	No coupon	Instagram	1764.15	0	441.0375	0	1764.15
ORD200228	17 May 2023	C57867	Chair	4	385.92	579 Main St	Credit Card	Cancelled	TRK92055007	8	No coupon	Instagram	1543.68	0	385.92	0	1543.68
ORD200233	24 August 2024	C30168	Phone	3	311.33	146 Main St	Cash	Cancelled	TRK73699939	3	WINTER15	Instagram	933.99	15	233.4975	140.0985	793.8915
ORD200246	30 August 2024	C55354	Desk	2	342.11	164 Main St	Gift Card	Shipped	TRK15439493	2	WINTER15	Instagram	684.22	15	171.055	102.633	581.587
ORD200253	23 March 2024	C14891	Chair	4	413.74	743 Main St	Gift Card	Returned	TRK79471534	7	FREESHIP50	Instagram	1654.96	-50	413.74	50	1604.96
ORD200254	26 December 2023	C10866	Monitor	3	263.19	770 Main St	Online	Delivered	TRK34809583	5	No coupon	Instagram	789.57	0	197.3925	0	789.57
ORD200256	30 June 2025	C94323	Chair	5	75.81	463 Main St	Gift Card	Returned	TRK22663277	10	WINTER15	Instagram	379.05	15	94.7625	56.8575	322.1925
ORD200259	11 June 2023	C20977	Chair	4	435.12	636 Main St	Credit Card	Delivered	TRK54991561	9	SAVE10	Instagram	1740.48	10	435.12	174.048	1566.432
ORD200276	29 March 2025	C99050	Printer	2	600.57	654 Main St	Debit Card	Returned	TRK56927089	3	WINTER15	Instagram	1201.14	15	300.285	180.171	1020.969
ORD200278	18 November 2024	C46015	Laptop	5	362.46	299 Main St	Cash	Delivered	TRK46598430	6	FREESHIP50	Instagram	1812.3	-50	453.075	50	1762.3
ORD200280	27 March 2023	C55388	Tablet	3	404.62	740 Main St	Gift Card	Delivered	TRK75741001	6	FREESHIP50	Instagram	1213.86	-50	303.465	50	1163.86
ORD200293	16 February 2023	C33220	Tablet	4	463.04	564 Main St	Gift Card	Returned	TRK40450219	9	No coupon	Instagram	1852.16	0	463.04	0	1852.16
ORD200297	22 February 2023	C68078	Desk	2	493.88	252 Main St	Credit Card	Returned	TRK64862812	7	SAVE10	Instagram	987.76	10	246.94	98.776	888.984
ORD200299	20 January 2024	C30711	Monitor	1	278.66	856 Main St	Gift Card	Cancelled	TRK42696593	2	FREESHIP50	Instagram	278.66	-50	69.665	50	228.66
ORD200304	18 October 2024	C86762	Monitor	5	408.73	326 Main St	Gift Card	Delivered	TRK75686292	10	FREESHIP50	Instagram	2043.65	-50	510.9125	50	1993.65
ORD200306	07 June 2024	C70495	Printer	2	57.07	238 Main St	Debit Card	Returned	TRK65511225	3	SAVE10	Instagram	114.14	10	28.535	11.414	102.726
ORD200308	11 December 2023	C75888	Printer	3	448.9	790 Main St	Debit Card	Returned	TRK98467398	7	SAVE10	Instagram	1346.7	10	336.675	134.67	1212.03
ORD200311	17 May 2025	C71698	Desk	5	489.37	274 Main St	Online	Returned	TRK34786818	8	No coupon	Instagram	2446.85	0	611.7125	0	2446.85
ORD200313	09 July 2023	C67687	Chair	2	434.3	978 Main St	Cash	Delivered	TRK22838735	7	SAVE10	Instagram	868.6	10	217.15	86.86	781.74
ORD200317	10 April 2023	C88370	Monitor	2	139.95	339 Main St	Online	Returned	TRK22575151	5	No coupon	Instagram	279.9	0	69.975	0	279.9
ORD200319	02 December 2023	C53049	Laptop	2	563.06	413 Main St	Cash	Returned	TRK48974907	6	No coupon	Instagram	1126.12	0	281.53	0	1126.12
ORD200333	16 April 2024	C87124	Phone	1	198.51	818 Main St	Credit Card	Returned	TRK52086740	5	WINTER15	Instagram	198.51	15	49.6275	29.7765	168.7335
ORD200344	06 March 2025	C95623	Tablet	3	623.34	248 Main St	Online	Cancelled	TRK67558189	3	SAVE10	Instagram	1870.02	10	467.505	187.002	1683.018
ORD200350	03 June 2023	C13296	Chair	2	54.41	495 Main St	Online	Shipped	TRK60127216	6	No coupon	Instagram	108.82	0	27.205	0	108.82
ORD200351	15 February 2025	C94248	Laptop	1	64.66	494 Main St	Debit Card	Delivered	TRK89406816	4	No coupon	Instagram	64.66	0	16.165	0	64.66
ORD200354	11 July 2023	C31772	Phone	1	693.41	992 Main St	Debit Card	Shipped	TRK11970357	4	No coupon	Instagram	693.41	0	173.3525	0	693.41
ORD200356	06 May 2023	C26966	Printer	5	374.58	907 Main St	Gift Card	Cancelled	TRK83889574	10	FREESHIP50	Instagram	1872.9	-50	468.225	50	1822.9
ORD200357	08 July 2023	C74982	Laptop	5	408.56	398 Main St	Debit Card	Delivered	TRK98700702	8	FREESHIP50	Instagram	2042.8	-50	510.7	50	1992.8
ORD200362	27 June 2023	C53697	Monitor	4	206.84	312 Main St	Cash	Cancelled	TRK60476656	5	WINTER15	Instagram	827.36	15	206.84	124.104	703.256
ORD200381	07 June 2023	C29467	Chair	1	191.76	223 Main St	Credit Card	Returned	TRK98103385	1	FREESHIP50	Instagram	191.76	-50	47.94	50	141.76
ORD200398	04 September 2024	C50275	Phone	5	53.93	729 Main St	Gift Card	Shipped	TRK98925264	7	SAVE10	Instagram	269.65	10	67.4125	26.965	242.685
ORD200400	28 September 2024	C56266	Desk	4	160.22	304 Main St	Debit Card	Returned	TRK60088901	9	WINTER15	Instagram	640.88	15	160.22	96.132	544.748
ORD200404	09 March 2023	C45482	Monitor	2	99.1	440 Main St	Cash	Delivered	TRK54571699	6	No coupon	Instagram	198.2	0	49.55	0	198.2
ORD200407	13 August 2023	C85993	Tablet	4	547.32	250 Main St	Cash	Returned	TRK72547640	8	FREESHIP50	Instagram	2189.28	-50	547.32	50	2139.28
ORD200420	29 November 2024	C11921	Phone	1	452.7	439 Main St	Debit Card	Shipped	TRK91362635	5	FREESHIP50	Instagram	452.7	-50	113.175	50	402.7
ORD200435	27 May 2023	C48601	Printer	1	414.47	101 Main St	Debit Card	Returned	TRK97868309	3	FREESHIP50	Instagram	414.47	-50	103.6175	50	364.47
ORD200437	18 April 2024	C63378	Phone	1	512.39	955 Main St	Online	Delivered	TRK20863705	2	FREESHIP50	Instagram	512.39	-50	128.0975	50	462.39
ORD200444	08 June 2024	C79508	Printer	1	135.17	585 Main St	Online	Shipped	TRK61882353	6	FREESHIP50	Instagram	135.17	-50	33.7925	50	85.17
ORD200446	18 October 2023	C89592	Laptop	5	509.58	262 Main St	Online	Delivered	TRK49442402	6	FREESHIP50	Instagram	2547.9	-50	636.975	50	2497.9
ORD200450	15 January 2024	C36408	Monitor	5	615.1	160 Main St	Gift Card	Returned	TRK94023253	10	WINTER15	Instagram	3075.5	15	768.875	461.325	2614.175
ORD200457	25 May 2025	C50236	Desk	4	615.83	545 Main St	Online	Returned	TRK67692578	4	WINTER15	Instagram	2463.32	15	615.83	369.498	2093.822
ORD200459	24 July 2024	C90142	Desk	1	334.39	433 Main St	Credit Card	Returned	TRK39717191	2	No coupon	Instagram	334.39	0	83.5975	0	334.39
ORD200463	26 May 2023	C25276	Laptop	5	662.78	214 Main St	Debit Card	Shipped	TRK14011732	9	SAVE10	Instagram	3313.9	10	828.475	331.39	2982.51
ORD200485	01 August 2023	C46651	Chair	3	404.79	764 Main St	Cash	Shipped	TRK67679195	6	SAVE10	Instagram	1214.37	10	303.5925	121.437	1092.933
ORD200492	25 October 2023	C39074	Laptop	5	606.52	103 Main St	Debit Card	Shipped	TRK13027036	6	SAVE10	Instagram	3032.6	10	758.15	303.26	2729.34
ORD200498	12 July 2023	C73961	Tablet	4	132.56	306 Main St	Cash	Returned	TRK32607173	8	WINTER15	Instagram	530.24	15	132.56	79.536	450.704
ORD200504	11 June 2025	C11676	Monitor	2	464.5	805 Main St	Online	Cancelled	TRK35726395	2	WINTER15	Instagram	929	15	232.25	139.35	789.65
ORD200506	25 July 2023	C23279	Monitor	2	43.67	696 Main St	Cash	Returned	TRK58039693	4	WINTER15	Instagram	87.34	15	21.835	13.101	74.239
ORD200514	16 April 2023	C15629	Printer	3	304.15	492 Main St	Gift Card	Shipped	TRK64926044	3	WINTER15	Instagram	912.45	15	228.1125	136.8675	775.5825
ORD200545	19 December 2023	C74138	Monitor	2	98.47	964 Main St	Cash	Returned	TRK74091695	3	No coupon	Instagram	196.94	0	49.235	0	196.94
ORD200546	01 March 2024	C82399	Monitor	1	158.68	928 Main St	Credit Card	Returned	TRK77177284	6	WINTER15	Instagram	158.68	15	39.67	23.802	134.878
ORD200548	05 January 2024	C17103	Printer	3	426.12	922 Main St	Online	Delivered	TRK64398650	5	WINTER15	Instagram	1278.36	15	319.59	191.754	1086.606
ORD200549	25 February 2025	C34266	Monitor	4	629.88	550 Main St	Debit Card	Cancelled	TRK56378197	8	WINTER15	Instagram	2519.52	15	629.88	377.928	2141.592
ORD200554	30 May 2025	C61943	Laptop	2	492.9	610 Main St	Cash	Returned	TRK66126496	5	FREESHIP50	Instagram	985.8	-50	246.45	50	935.8
ORD200558	16 July 2024	C76766	Phone	4	628.12	485 Main St	Online	Delivered	TRK32052962	6	WINTER15	Instagram	2512.48	15	628.12	376.872	2135.608
ORD200569	22 March 2025	C25783	Desk	5	250.68	672 Main St	Cash	Shipped	TRK13289741	8	SAVE10	Instagram	1253.4	10	313.35	125.34	1128.06
ORD200573	25 January 2023	C13205	Chair	5	421.42	522 Main St	Debit Card	Cancelled	TRK30686578	7	No coupon	Instagram	2107.1	0	526.775	0	2107.1
ORD200578	10 October 2024	C50415	Monitor	5	566.07	587 Main St	Credit Card	Delivered	TRK41345634	6	SAVE10	Instagram	2830.35	10	707.5875	283.035	2547.315
ORD200580	14 November 2023	C71076	Monitor	2	255.99	340 Main St	Credit Card	Delivered	TRK65148292	4	SAVE10	Instagram	511.98	10	127.995	51.198	460.782
ORD200583	15 June 2025	C27072	Chair	3	154.37	996 Main St	Gift Card	Delivered	TRK29750379	4	No coupon	Instagram	463.11	0	115.7775	0	463.11
ORD200587	12 June 2023	C18820	Monitor	5	514.6	347 Main St	Gift Card	Delivered	TRK91547425	10	FREESHIP50	Instagram	2573	-50	643.25	50	2523
ORD200608	24 July 2024	C32956	Laptop	5	543.16	788 Main St	Online	Cancelled	TRK73140103	6	SAVE10	Instagram	2715.8	10	678.95	271.58	2444.22
ORD200618	03 September 2024	C50565	Tablet	1	411.34	399 Main St	Debit Card	Returned	TRK97981418	5	No coupon	Instagram	411.34	0	102.835	0	411.34
ORD200623	16 June 2023	C91941	Printer	3	396	269 Main St	Gift Card	Cancelled	TRK21330732	4	FREESHIP50	Instagram	1188	-50	297	50	1138
ORD200630	23 June 2023	C51481	Monitor	5	248.84	140 Main St	Debit Card	Cancelled	TRK33437701	10	No coupon	Instagram	1244.2	0	311.05	0	1244.2
ORD200633	10 April 2024	C79533	Laptop	5	601.72	921 Main St	Gift Card	Cancelled	TRK54711422	5	WINTER15	Instagram	3008.6	15	752.15	451.29	2557.31
ORD200652	05 June 2024	C71473	Chair	5	341.84	328 Main St	Online	Shipped	TRK94857335	8	FREESHIP50	Instagram	1709.2	-50	427.3	50	1659.2
ORD200654	12 June 2023	C62661	Tablet	3	382.37	863 Main St	Debit Card	Returned	TRK25748100	8	No coupon	Instagram	1147.11	0	286.7775	0	1147.11
ORD200657	24 December 2023	C19384	Tablet	4	87.79	532 Main St	Cash	Cancelled	TRK33207064	6	FREESHIP50	Instagram	351.16	-50	87.79	50	301.16
ORD200663	15 April 2024	C59774	Monitor	1	72.6	941 Main St	Debit Card	Cancelled	TRK87635135	6	FREESHIP50	Instagram	72.6	-50	18.15	50	22.6
